Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ALB","ALBEMARLE CORP","Equity","0.04","105.87","70,992.00","7,515,923.04","7,515,923.04","Materials","2046853","US0126531013","New York Stock Exchange Inc."
"VIAB","VIACOM INC CLASS B","Equity","0.04","32.03","233,506.00","7,479,197.18","7,479,197.18","Communication","B0SRLF4","US92553P2011","NASDAQ"
"NRG","NRG ENERGY INC","Equity","0.04","36.99","201,158.00","7,440,834.42","7,440,834.42","Utilities","2212922","US6293775085","New York Stock Exchange Inc."
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.04","124.43","59,555.00","7,410,428.65","7,410,428.65","Health Care","2927516","US92220P1057","New York Stock Exchange Inc."
"FMC","FMC CORP","Equity","0.04","83.67","88,452.00","7,400,778.84","7,400,778.84","Materials","2328603","US3024913036","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.04","99.89","74,005.00","7,392,359.45","7,392,359.45","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.04","26.29","281,043.00","7,388,620.47","7,388,620.47","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"TAP","MOLSON COORS BREWING CLASS B","Equity","0.04","63.97","114,386.00","7,317,272.42","7,317,272.42","Consumer Staples","B067BM3","US60871R2094","New York Stock Exchange Inc."
"FANG","DIAMONDBACK ENERGY INC","Equity","0.04","110.65","65,543.00","7,252,332.95","7,252,332.95","Energy","B7Y8YR3","US25278X1090","NASDAQ"
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.04","143.10","50,615.00","7,243,006.50","7,243,006.50","Information Technology","2469193","US4262811015","NASDAQ"
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.04","28.35","255,415.00","7,241,015.25","7,241,015.25","Financials","2740542","BMG0450A1053","NASDAQ"
"COG","CABOT OIL & GAS CORP","Equity","0.04","25.23","286,432.00","7,226,679.36","7,226,679.36","Energy","2162340","US1270971039","New York Stock Exchange Inc."
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.04","90.28","79,917.00","7,214,906.76","7,214,906.76","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"BHGE","BAKER HUGHES CLASS A","Equity","0.04","26.75","269,290.00","7,203,507.50","7,203,507.50","Energy","BDHLTQ5","US05722G1004","New York Stock Exchange Inc."
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Equity","0.04","130.25","55,089.00","7,175,342.25","7,175,342.25","Health Care","2923785","US9139031002","New York Stock Exchange Inc."
"FTNT","FORTINET INC","Equity","0.04","77.91","91,682.00","7,142,944.62","7,142,944.62","Information Technology","B5B2106","US34959E1091","NASDAQ"
"UDR","UDR REIT INC","Equity","0.04","40.64","175,463.00","7,130,816.32","7,130,816.32","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"SSNC","SS AND C TECHNOLOGIES HOLDINGS INC","Equity","0.04","51.91","136,247.00","7,072,581.77","7,072,581.77","Information Technology","B58YSC6","US78467J1007","NASDAQ"
"VMW","VMWARE INC CLASS A","Equity","0.04","151.65","46,609.00","7,068,254.85","7,068,254.85","Information Technology","B23SN61","US9285634021","New York Stock Exchange Inc."
"MTN","VAIL RESORTS INC","Equity","0.04","267.40","26,383.00","7,054,814.20","7,054,814.20","Consumer Discretionary","2954194","US91879Q1094","New York Stock Exchange Inc."
"GDDY","GODADDY INC CLASS A","Equity","0.04","66.87","105,266.00","7,039,137.42","7,039,137.42","Information Technology","BWFRFC6","US3802371076","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.04","65.74","107,042.00","7,036,941.08","7,036,941.08","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.04","80.94","86,785.00","7,024,377.90","7,024,377.90","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"URI","UNITED RENTALS INC","Equity","0.04","126.72","55,266.00","7,003,307.52","7,003,307.52","Industrials","2134781","US9113631090","New York Stock Exchange Inc."
"KSU","KANSAS CITY SOUTHERN","Equity","0.04","104.06","67,175.00","6,990,230.50","6,990,230.50","Industrials","2607647","US4851703029","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.04","136.53","50,768.00","6,931,355.04","6,931,355.04","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"DISCK","DISCOVERY INC SERIES C","Equity","0.04","30.41","227,848.00","6,928,857.68","6,928,857.68","Communication","B3D7KG4","US25470F3029","NASDAQ"
"NDAQ","NASDAQ INC","Equity","0.04","91.34","75,536.00","6,899,458.24","6,899,458.24","Financials","2965107","US6311031081","NASDAQ"
"XPO","XPO LOGISTICS INC","Equity","0.04","83.12","82,958.00","6,895,468.96","6,895,468.96","Industrials","B6Z1355","US9837931008","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.04","95.84","71,711.00","6,872,782.24","6,872,782.24","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"FDC","FIRST DATA CORP CLASS A","Equity","0.04","19.12","357,793.00","6,841,002.16","6,841,002.16","Information Technology","BYX3ZN1","US32008D1063","New York Stock Exchange Inc."
"AES","AES CORP","Equity","0.04","15.67","436,232.00","6,835,755.44","6,835,755.44","Utilities","2002479","US00130H1059","New York Stock Exchange Inc."
"JNPR","JUNIPER NETWORKS INC","Equity","0.04","30.67","222,299.00","6,817,910.33","6,817,910.33","Information Technology","2431846","US48203R1041","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.04","87.41","77,602.00","6,783,190.82","6,783,190.82","Information Technology","B95N910","US69370C1009","NASDAQ"
"ADS","ALLIANCE DATA SYSTEMS CORP","Equity","0.04","212.92","31,812.00","6,773,411.04","6,773,411.04","Information Technology","2762030","US0185811082","New York Stock Exchange Inc."
"CPRT","COPART INC","Equity","0.04","50.44","133,927.00","6,755,277.88","6,755,277.88","Industrials","2208073","US2172041061","NASDAQ"
"JEC","JACOBS ENGINEERING GROUP INC","Equity","0.04","79.43","84,766.00","6,732,963.38","6,732,963.38","Industrials","2469052","US4698141078","New York Stock Exchange Inc."
"QRTEA","QURATE RETAIL INC SERIES A","Equity","0.04","23.67","284,322.00","6,729,901.74","6,729,901.74","Consumer Discretionary","BZ19HB0","US74915M1009","NASDAQ"
"WYNN","WYNN RESORTS LTD","Equity","0.04","99.02","67,947.00","6,728,111.94","6,728,111.94","Consumer Discretionary","2963811","US9831341071","NASDAQ"
"DRE","DUKE REALTY REIT CORP","Equity","0.04","28.58","234,765.00","6,709,583.70","6,709,583.70","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","0.04","43.83","151,285.00","6,630,821.55","6,630,821.55","Utilities","2973821","US0188021085","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.04","120.70","54,735.00","6,606,514.50","6,606,514.50","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"VST","VISTRA ENERGY CORP","Equity","0.04","24.25","270,554.00","6,560,934.50","6,560,934.50","Utilities","BZ8VJQ8","US92840M1027","New York Stock Exchange Inc."
